group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,block_coding_time_seconds_min,block_coding_time_seconds_max,block_coding_time_seconds_avg,block_coding_time_seconds_std,block_coding_time_seconds_median
"(1, 'Four neighbor prediction')",344,1.6103558540954102,2.8050699790826767,2.4523673684440124,0.1794894928648822,2.462270002963101,2.851978759765625,4.967846069335938,3.284788080259811,0.313314208108947,3.249034423828125,1.3364753025571872,2.092160783609664,1.9484658554778356,0.1322856358778665,1.966689749848641,1.0615,2.146,1.4057232558139534,0.17685436658294937,1.3789
"(1, 'JPEG-LS prediction')",344,1.8692732364573883,2.613937997945895,2.312106421296531,0.09873412701781993,2.3019316569566346,3.060516357421875,4.279738159179687,3.4668516788926236,0.16054765914469063,3.4753421020507815,1.4452798529675652,2.0579576981265992,1.8376234167079544,0.07122200538817765,1.8364871326566148,1.2232,2.6767,1.7456558139534883,0.2328826624827401,1.6976499999999999
"(1, 'Left neighbor prediction')",344,1.6420599463629495,2.6149037864952764,2.3063738049505607,0.13974991568530928,2.3035410210974048,3.059385986328125,4.871929321289063,3.484072196428166,0.2573155018528102,3.472914123535156,1.3101664607211525,1.971111164563414,1.8327376426479285,0.10209407744768072,1.8439591072051742,0.9531,2.4364,1.5935587209302327,0.2732408384260705,1.5773000000000001
"(1, 'Two left neighbor prediction')",344,1.5088459593889838,2.7390618913636966,2.380307610476167,0.19220598380422588,2.4009664728199054,2.9207080078125,5.3020654296875,3.390260815287746,0.3686488525515901,3.3319915771484374,1.1971306427515906,2.0438515195920344,1.8911902677215244,0.14386861511565133,1.9164649744681865,1.0478,2.3973,1.681232558139535,0.2340049165673521,1.6733500000000001
