__atable_index,file_path,task_name,task_label,param_dict,family_label,header_size,build_time,dump_time,row_created,row_updated
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.8120426_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.8120426_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.8120426_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.8150174, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGHI/column_avg_symbol_to_p_noshadow'}",No family,1621492,2.3157047169999996,673.875199919,2022-02-10T04:30:31.721334,2022-02-10T04:30:31.722269
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7597906_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7597906_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7597906_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7634770, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGJ/column_avg_symbol_to_p_noshadow'}",No family,1626896,2.3888890569999996,705.425125457,2022-02-10T04:31:03.393634,2022-02-10T04:31:03.394514
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7511674_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7511674_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7511674_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7515599, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_FGJI/column_avg_symbol_to_p_noshadow'}",No family,1637834,2.363683038,686.326510188,2022-02-10T04:30:44.275714,2022-02-10T04:30:44.276620
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.8690945_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.8690945_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.8690945_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.8692809, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_IJ/column_avg_symbol_to_p_noshadow'}",No family,1603279,2.358745888,676.666578646,2022-02-10T04:30:34.752504,2022-02-10T04:30:34.753439
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7806452_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7806452_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7806452_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.7831076, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_JG/column_avg_symbol_to_p_noshadow'}",No family,1627577,2.368169738,694.8813683879999,2022-02-10T04:30:53.007852,2022-02-10T04:30:53.008766
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9414248_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9414248_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9414248_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9415408, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_JLS/column_avg_symbol_to_p_noshadow'}",No family,1580567,2.316232988,701.327755241,2022-02-10T04:30:59.458819,2022-02-10T04:30:59.459750
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_N/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9501187_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_N/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9501187_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_N/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9501187_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9587206, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_N/column_avg_symbol_to_p_noshadow'}",No family,1589377,2.397014478,755.118046397,2022-02-10T04:31:53.501593,2022-02-10T04:31:53.502491
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.0122864_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.0122864_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.0122864_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.0200381, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_NW/column_avg_symbol_to_p_noshadow'}",No family,1558347,2.3576209280000002,757.905986515,2022-02-10T04:31:56.316059,2022-02-10T04:31:56.316943
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_W/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9196713_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_W/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9196713_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_W/column_avg_symbol_to_p_noshadow_qstep=3_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9196713_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.9215407, 'qstep': 3, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q3/prediction_W/column_avg_symbol_to_p_noshadow'}",No family,1594288,2.373100588,742.34415945,2022-02-10T04:31:40.850263,2022-02-10T04:31:40.851203
