__atable_index,file_path,task_name,task_label,param_dict,family_label,header_size,build_time,dump_time,row_created,row_updated
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2782285_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2782285_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2782285_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2821392, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGHI/column_avg_symbol_to_p_noshadow'}",No family,1504617,2.196193948,680.538640332,2022-02-10T02:21:05.796069,2022-02-10T02:21:05.796996
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2207187_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2207187_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2207187_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2264698, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGJ/column_avg_symbol_to_p_noshadow'}",No family,1516136,2.222595088,684.7113474580001,2022-02-10T02:21:10.063049,2022-02-10T02:21:10.063970
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2105232_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2105232_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2105232_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2116816, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_FGJI/column_avg_symbol_to_p_noshadow'}",No family,1521491,2.212715628,677.363554625,2022-02-10T02:21:02.800270,2022-02-10T02:21:02.801199
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.3416251_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.3416251_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.3416251_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.3418459, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_IJ/column_avg_symbol_to_p_noshadow'}",No family,1494547,2.218677107,710.869562362,2022-02-10T02:21:36.364210,2022-02-10T02:21:36.365112
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2445631_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2445631_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2445631_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.2480798, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_JG/column_avg_symbol_to_p_noshadow'}",No family,1513515,2.246457267,658.766288725,2022-02-10T02:20:44.344782,2022-02-10T02:20:44.345715
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4188274_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4188274_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4188274_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4190027, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_JLS/column_avg_symbol_to_p_noshadow'}",No family,1479461,2.204510957,663.9219646299999,2022-02-10T02:20:49.563533,2022-02-10T02:20:49.564448
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_N/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4519179_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_N/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4519179_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_N/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4519179_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4617578, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_N/column_avg_symbol_to_p_noshadow'}",No family,1471046,2.178822967,711.633573362,2022-02-10T02:21:37.358600,2022-02-10T02:21:37.359517
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.5186118_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.5186118_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.5186118_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.5275443, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_NW/column_avg_symbol_to_p_noshadow'}",No family,1463119,2.268046658,754.420462047,2022-02-10T02:22:20.304768,2022-02-10T02:22:20.305662
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_W/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4183809_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_W/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4183809_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_W/column_avg_symbol_to_p_noshadow_qstep=2_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4183809_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy2.4204033, 'qstep': 2, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q2/prediction_W/column_avg_symbol_to_p_noshadow'}",No family,1475411,2.1903841379999998,724.969948477,2022-02-10T02:21:50.844117,2022-02-10T02:21:50.844990
