__atable_index,file_path,corpus,size_bytes,sha256,row_created,row_updated
"('satellogic_all/boats2020/image_20200508-092838-434_0085-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200508-092838-434_0085-u8be-1x5120x5120.raw,boats2020,26214400,f582853dae0d6430842db0d1cec1b3d0b9e159c0120af51a35801a70764d837c,2022-02-10T02:09:41.207869,2022-02-10T02:09:41.208832
"('satellogic_all/boats2020/image_20200508-092839-319_0099-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200508-092839-319_0099-u8be-1x5120x5120.raw,boats2020,26214400,1ccf94947ba34ce29821a34b64c570b7bd23517da37e6e5819137bc95995d80c,2022-02-10T02:09:41.233204,2022-02-10T02:09:41.234820
"('satellogic_all/boats2020/image_20200508-092839-825_0107-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200508-092839-825_0107-u8be-1x5120x5120.raw,boats2020,26214400,2d11a92072cf1ed2738ecaf3980b82fa09b12260519283ae08545a63f2277d3f,2022-02-10T02:09:41.230375,2022-02-10T02:09:41.232154
"('satellogic_all/boats2020/image_20200508-092840-331_0115-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200508-092840-331_0115-u8be-1x5120x5120.raw,boats2020,26214400,adb8286a926b14bcf556e4994550eddcf51853a3e16af9404dddcceffb9b92cc,2022-02-10T02:09:41.245152,2022-02-10T02:09:41.246670
"('satellogic_all/boats2020/image_20200511-051227-745_0091-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200511-051227-745_0091-u8be-1x5120x5120.raw,boats2020,26214400,78d5697fb7c9a778430d7ce697c7bf534197a89e746bb1a96e3905763a3c1f46,2022-02-10T02:09:41.249911,2022-02-10T02:09:41.251517
"('satellogic_all/boats2020/image_20200511-051228-124_0097-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200511-051228-124_0097-u8be-1x5120x5120.raw,boats2020,26214400,f2f29cc8ce82ff4f4d307036ec5bbc642ee569bca380ffa05633f389771cd65b,2022-02-10T02:09:41.256461,2022-02-10T02:09:41.257690
"('satellogic_all/boats2020/image_20200511-051229-136_0113-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200511-051229-136_0113-u8be-1x5120x5120.raw,boats2020,26214400,9942e4800f54e5311cd7ba43cd929e0c311df1c1aa8f49eaa2045d9c88042542,2022-02-10T02:09:41.267358,2022-02-10T02:09:41.268351
"('satellogic_all/boats2020/image_20200516-074719-603_0057-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200516-074719-603_0057-u8be-1x5120x5120.raw,boats2020,26214400,9442e85361ecea4e44d3394de64f67964508a8f6f537c2774ccfb32bbd3e91a6,2022-02-10T02:09:41.267464,2022-02-10T02:09:41.268470
"('satellogic_all/boats2020/image_20200527-215649-751_0201-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200527-215649-751_0201-u8be-1x5120x5120.raw,boats2020,26214400,535e97e129469ca3932827d95f26a594a0ebc9c0de90c967f7bd47951fa2cd0f,2022-02-10T02:09:41.274126,2022-02-10T02:09:41.275042
"('satellogic_all/boats2020/image_20200530-020548-527_0309-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200530-020548-527_0309-u8be-1x5120x5120.raw,boats2020,26214400,e91587aec649035168d6a7dcffe8d2cc74dfff22c13498ed910dce7b34ac60d7,2022-02-10T02:09:41.281186,2022-02-10T02:09:41.282662
"('satellogic_all/boats2020/image_20200531-092712-529_0167-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200531-092712-529_0167-u8be-1x5120x5120.raw,boats2020,26214400,d4c18cc9fded4ec940b737bd1bf13c2945fc10bc74dbdc3ae55a44e3fc5d797f,2022-02-10T02:09:41.288150,2022-02-10T02:09:41.289693
"('satellogic_all/boats2020/image_20200714-100238-761_0471-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200714-100238-761_0471-u8be-1x5120x5120.raw,boats2020,26214400,e8f8663a5fd8a2be4ddcc924858f090c6cf397e3c1b79b15b8d10bb8eafd7021,2022-02-10T02:09:41.302317,2022-02-10T02:09:41.303961
"('satellogic_all/fields2020/image_20201008-135317-108_0001-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135317-108_0001-u8be-1x5120x5120.raw,fields2020,26214400,d8352c279928a66a423a5efe5d4004ad8c8d421346c5acc9be790c798efc1568,2022-02-10T02:09:41.314367,2022-02-10T02:09:41.315571
"('satellogic_all/fields2020/image_20201008-135317-234_0003-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135317-234_0003-u8be-1x5120x5120.raw,fields2020,26214400,816abb5cf100af25fc4125cce2bf08ea2eafdbf0bf86fb84665c901418ae9590,2022-02-10T02:09:41.323828,2022-02-10T02:09:41.324954
"('satellogic_all/fields2020/image_20201008-135317-361_0005-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135317-361_0005-u8be-1x5120x5120.raw,fields2020,26214400,1d063298d590b8a09dce698c827e5af8f39019c53bf97831d24e6f8e5a962910,2022-02-10T02:09:41.322861,2022-02-10T02:09:41.324020
"('satellogic_all/fields2020/image_20201008-135317-487_0007-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135317-487_0007-u8be-1x5120x5120.raw,fields2020,26214400,1b79697210d89741559145410e481ad959b9f9a755ffc466395d04795728c0b6,2022-02-10T02:09:41.340223,2022-02-10T02:09:41.341463
"('satellogic_all/fields2020/image_20201008-135317-613_0009-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135317-613_0009-u8be-1x5120x5120.raw,fields2020,26214400,7484aba400cd3398a0b99f56b8e3a9d3520296db0b8673363aac10e98cc15c7a,2022-02-10T02:09:41.341693,2022-02-10T02:09:41.342648
"('satellogic_all/fields2020/image_20201008-135317-740_0011-u8be-1x5120x5120.raw',)",satellogic_all/fields2020/image_20201008-135317-740_0011-u8be-1x5120x5120.raw,fields2020,26214400,3e469670866273619e601810f931f75a22b1441055a922e86fac1303dec7f9fb,2022-02-10T02:09:41.347980,2022-02-10T02:09:41.348891
