__atable_index,file_path,task_name,task_label,param_dict,family_label,header_size,build_time,dump_time,row_created,row_updated
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5308926_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5308926_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5308926_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5325088, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGHI/column_avg_symbol_to_p_noshadow'}",No family,1719762,2.601261007,755.501962316,2022-02-10T06:36:04.168758,2022-02-10T06:36:04.169642
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.4823200_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.4823200_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.4823200_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.4835827, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGJ/column_avg_symbol_to_p_noshadow'}",No family,1729257,2.596382497,689.648148074,2022-02-10T06:34:58.399403,2022-02-10T06:34:58.400327
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.4759045_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.4759045_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.4759045_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.4762993, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_FGJI/column_avg_symbol_to_p_noshadow'}",No family,1735267,2.567405027,703.897125289,2022-02-10T06:35:12.612665,2022-02-10T06:35:12.613559
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5816842_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5816842_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5816842_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5817946, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_IJ/column_avg_symbol_to_p_noshadow'}",No family,1701561,2.5452218469999996,690.4970635239999,2022-02-10T06:34:59.210449,2022-02-10T06:34:59.211392
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5031077_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5031077_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5031077_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.5045429, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_JG/column_avg_symbol_to_p_noshadow'}",No family,1725096,2.585552727,690.918185642,2022-02-10T06:34:59.795762,2022-02-10T06:34:59.796682
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6487503_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6487503_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6487503_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6488377, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_JLS/column_avg_symbol_to_p_noshadow'}",No family,1664130,2.510055297,739.038851993,2022-02-10T06:35:47.989983,2022-02-10T06:35:47.990886
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_N/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6355566_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_N/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6355566_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_N/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6355566_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6429054, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_N/column_avg_symbol_to_p_noshadow'}",No family,1674832,2.557918437,719.8446078019999,2022-02-10T06:35:28.854086,2022-02-10T06:35:28.854998
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6924982_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6924982_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6924982_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6985012, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_NW/column_avg_symbol_to_p_noshadow'}",No family,1655708,2.5328325279999997,690.2284832319999,2022-02-10T06:34:59.281172,2022-02-10T06:34:59.282117
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_W/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6082194_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_W/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6082194_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_W/column_avg_symbol_to_p_noshadow_qstep=4_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6082194_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.6098612, 'qstep': 4, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q4/prediction_W/column_avg_symbol_to_p_noshadow'}",No family,1682358,2.574189108,780.933223719,2022-02-10T06:36:30.696312,2022-02-10T06:36:30.697187
