__atable_index,file_path,task_name,task_label,param_dict,family_label,header_size,build_time,dump_time,row_created,row_updated
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0089296_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0089296_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0089296_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0089391, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGHI/column_avg_symbol_to_p_noshadow'}",No family,2067547,2.8304930070000003,746.207561665,2022-02-10T14:27:54.177533,2022-02-10T14:27:54.178443
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy0.9746171_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy0.9746171_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy0.9746171_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy0.9753261, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGJ/column_avg_symbol_to_p_noshadow'}",No family,2105573,2.880805957,722.971673159,2022-02-10T14:27:30.971182,2022-02-10T14:27:30.972094
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy0.9699410_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy0.9699410_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy0.9699410_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy0.9699562, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_FGJI/column_avg_symbol_to_p_noshadow'}",No family,2106859,2.8845363070000003,711.379670131,2022-02-10T14:27:19.471313,2022-02-10T14:27:19.472244
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0487852_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0487852_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0487852_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0487977, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_IJ/column_avg_symbol_to_p_noshadow'}",No family,2024905,2.7969035570000003,758.882660312,2022-02-10T14:28:07.058311,2022-02-10T14:28:07.059257
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0021182_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0021182_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0021182_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0025122, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_JG/column_avg_symbol_to_p_noshadow'}",No family,2066679,2.7959065770000002,725.897049616,2022-02-10T14:27:34.084764,2022-02-10T14:27:34.085677
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1089288_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1089288_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1089288_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1091456, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_JLS/column_avg_symbol_to_p_noshadow'}",No family,1952547,2.7394508479999997,781.504326429,2022-02-10T14:28:29.756042,2022-02-10T14:28:29.756918
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_N/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0662979_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_N/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0662979_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_N/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0662979_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0688251, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_N/column_avg_symbol_to_p_noshadow'}",No family,1984794,2.7760625880000003,673.276767749,2022-02-10T14:26:41.572707,2022-02-10T14:26:41.573655
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1063036_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1063036_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1063036_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1085926, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_NW/column_avg_symbol_to_p_noshadow'}",No family,1957389,2.7189750470000003,732.74635065,2022-02-10T14:27:41.090100,2022-02-10T14:27:41.090997
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_W/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0467630_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_W/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0467630_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_W/column_avg_symbol_to_p_noshadow_qstep=8_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0467630_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.0478606, 'qstep': 8, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q8/prediction_W/column_avg_symbol_to_p_noshadow'}",No family,2029423,2.804059647,681.060870592,2022-02-10T14:26:49.510143,2022-02-10T14:26:49.511079
