group_label,group_size,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_time_seconds_min,compression_time_seconds_max,compression_time_seconds_avg,compression_time_seconds_std,compression_time_seconds_median
VVC lossless inter,19,2.975697326660156,3.2668954849243166,3.0361315395957544,0.07560701865829915,3.0100207138061523,239290.59,294918.17000000004,277869.9905263158,16204.72848615986,280712.49
VVC lossless intra,19,3.001279144287109,3.2839631271362304,3.0605571827135596,0.07361647949444522,3.0371802139282225,24404.27,34999.13,33033.14368421053,3497.198755088311,34532.24
