group_label,group_size,sample_min_min,sample_min_max,sample_min_avg,sample_min_std,sample_min_median,sample_max_min,sample_max_max,sample_max_avg,sample_max_std,sample_max_median,dynamic_range_bits_min,dynamic_range_bits_max,dynamic_range_bits_avg,dynamic_range_bits_std,dynamic_range_bits_median,entropy_1B_bps_min,entropy_1B_bps_max,entropy_1B_bps_avg,entropy_1B_bps_std,entropy_1B_bps_median
boats2020,12,2.0,3.0,2.3333333333333335,0.4923659639173309,2.0,190.0,255.0,245.25,22.93914875174198,255.0,8,8,8,0,8,5.205015046627765,6.9063673639351615,6.148052734810448,0.5008294662999586,6.269415276156004
fields2020,160,1.0,3.0,2.41875,0.5074523244948437,2.0,255.0,255.0,255.0,0.0,255.0,8,8,8,0,8,6.072791278590291,6.813003903014767,6.378340965734113,0.1316426377536131,6.382638286249131
newsat2022,248,0.0,3.0,0.9233870967741935,0.921063359328559,1.0,235.0,255.0,252.7741935483871,5.462924295386511,255.0,8,8,8,0,8,5.338822363195114,6.676549583693268,5.856299294214985,0.23867889982336107,5.855730743689136
All,420,0.0,3.0,1.5333333333333334,1.0686834553620255,2.0,190.0,255.0,253.40714285714284,5.875270485101024,255.0,8,8,8,0,8,5.205015046627765,6.9063673639351615,6.063508124525,0.3319807518715889,6.073032192972869
