group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,block_coding_time_seconds_min,block_coding_time_seconds_max,block_coding_time_seconds_avg,block_coding_time_seconds_std,block_coding_time_seconds_median
"V2F 1 trees, (W1+W2) / 2",1,2.6001319189244145,2.6001319189244145,2.6001319189244145,0,2.6001319189244145,3.0767669677734375,3.0767669677734375,3.0767669677734375,0,3.0767669677734375,1.8443898464401902,1.8443898464401902,1.8443898464401902,0,1.8443898464401902,0.9253,0.9253,0.9253,0,0.9253
"V2F 1 trees, (W1+W2) / 2 noshadow",1,2.7345959392068147,2.7345959392068147,2.7345959392068147,0,2.7345959392068147,2.9254779052734374,2.9254779052734374,2.9254779052734374,0,2.9254779052734374,1.939771189177207,1.939771189177207,1.939771189177207,0,1.939771189177207,0.9253,0.9253,0.9253,0,0.9253
"V2F 1 trees, FGIJ",1,2.6660087344167382,2.6660087344167382,2.6660087344167382,0,2.6660087344167382,3.0007403564453123,3.0007403564453123,3.0007403564453123,0,3.0007403564453123,1.8911192176407552,1.8911192176407552,1.8911192176407552,0,1.8911192176407552,0.9329,0.9329,0.9329,0,0.9329
"V2F 1 trees, FGIJ noshadow",1,2.8050699790826767,2.8050699790826767,2.8050699790826767,0,2.8050699790826767,2.851978759765625,2.851978759765625,2.851978759765625,0,2.851978759765625,1.9897615772181454,1.9897615772181454,1.9897615772181454,0,1.9897615772181454,0.9329,0.9329,0.9329,0,0.9329
"V2F 1 trees, JPEGLS",1,2.4823095296353728,2.4823095296353728,2.4823095296353728,0,2.4823095296353728,3.22280517578125,3.22280517578125,3.22280517578125,0,3.22280517578125,1.7608131567705654,1.7608131567705654,1.7608131567705654,0,1.7608131567705654,1.2247,1.2247,1.2247,0,1.2247
"V2F 1 trees, JPEGLS noshadow",1,2.613937997945895,2.613937997945895,2.613937997945895,0,2.613937997945895,3.060516357421875,3.060516357421875,3.060516357421875,0,3.060516357421875,1.854183115689738,1.854183115689738,1.854183115689738,0,1.854183115689738,1.2247,1.2247,1.2247,0,1.2247
"V2F 1 trees, W",1,2.4842912249205464,2.4842912249205464,2.4842912249205464,0,2.4842912249205464,3.220234375,3.220234375,3.220234375,0,3.220234375,1.762218861856569,1.762218861856569,1.762218861856569,0,1.762218861856569,0.8523,0.8523,0.8523,0,0.8523
"V2F 1 trees, W noshadow",1,2.614302952938478,2.614302952938478,2.614302952938478,0,2.614302952938478,3.060089111328125,3.060089111328125,3.060089111328125,0,3.060089111328125,1.8544419945865462,1.8544419945865462,1.8544419945865462,0,1.8544419945865462,0.8523,0.8523,0.8523,0,0.8523
