group_label,group_size,compression_ratio_dr_min,compression_ratio_dr_max,compression_ratio_dr_avg,compression_ratio_dr_std,compression_ratio_dr_median,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median,block_coding_time_seconds_min,block_coding_time_seconds_max,block_coding_time_seconds_avg,block_coding_time_seconds_std,block_coding_time_seconds_median
"(1, 'Four neighbor prediction')",2,2.6660087344167382,2.8050699790826767,2.7355393567497073,0.09833114910352672,2.7355393567497073,2.851978759765625,3.0007403564453123,2.9263595581054687,0.10519033379234513,2.9263595581054687,1.8911192176407552,1.9897615772181454,1.9404403974294504,0.0697506813694144,1.9404403974294504,0.9329,0.9329,0.9329,0,0.9329
"(1, 'JPEG-LS prediction')",2,2.4823095296353728,2.613937997945895,2.5481237637906338,0.093075382539569,2.5481237637906338,3.060516357421875,3.22280517578125,3.1416607666015626,0.11475552397266603,3.1416607666015626,1.7608131567705654,1.854183115689738,1.8074981362301517,0.06602253111085628,1.8074981362301517,1.2247,1.2247,1.2247,0,1.2247
"(1, 'Left neighbor prediction')",2,2.4842912249205464,2.614302952938478,2.549297088929512,0.09193217451526034,2.549297088929512,3.060089111328125,3.220234375,3.1401617431640627,0.11323980191729047,3.1401617431640627,1.762218861856569,1.8544419945865462,1.8083304282215575,0.06521160253563389,1.8083304282215575,0.8523,0.8523,0.8523,0,0.8523
"(1, 'Two left neighbor prediction')",2,2.6001319189244145,2.7345959392068147,2.6673639290656146,0.09508042056729059,2.6673639290656146,2.9254779052734374,3.0767669677734375,3.0011224365234375,0.10697752201310545,3.0011224365234375,1.8443898464401902,1.939771189177207,1.8920805178086986,0.06744479424802277,1.8920805178086986,0.9253,0.9253,0.9253,0,0.9253
