group_label,group_size,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median
CCSDS 123.0-B-2 Hybrid $P = 0$,129,2.122687752016129,3.500875966061828,2.6416067102713177,0.13514236873553118,2.6278423219086022,2.0083560378511343,2.865216893612141,2.4859922981691445,0.08943896628019694,2.495869052889468
CCSDS 123.0-B-2 Hybrid $P = 1$,129,2.1205178931451614,3.394739793346774,2.6365230646854423,0.12217928955111235,2.6272400033602152,2.0711470722993277,2.8681487794094496,2.4900344806191685,0.0824987764478518,2.4988383223229307
CCSDS 123.0-B-2 Hybrid $P = 2$,129,2.120617439516129,3.383605720766129,2.6357116688026174,0.12121993902570957,2.6265973622311827,2.077962376365828,2.868014142299962,2.4907469243831972,0.0819571998633566,2.4995594292543086
