group_label,group_size,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median,compression_efficiency_1byte_entropy_min,compression_efficiency_1byte_entropy_max,compression_efficiency_1byte_entropy_avg,compression_efficiency_1byte_entropy_std,compression_efficiency_1byte_entropy_median
CCSDS 123.0-B-2 Hybrid $P = 0$,129,2.122687752016129,3.500875966061828,2.6416067102713177,0.13514236873553118,2.6278423219086022,2.0083560378511343,2.865216893612141,2.4859922981691445,0.08943896628019693,2.4958690528894674
CCSDS 123.0-B-2 Hybrid $P = 1$,129,2.1205178931451614,3.394739793346774,2.6365230646854423,0.12217928955111235,2.6272400033602152,2.0711470722993273,2.8681487794094496,2.4900344806191685,0.08249877644785182,2.4988383223229307
CCSDS 123.0-B-2 Hybrid $P = 2$,129,2.120617439516129,3.383605720766129,2.6357116688026174,0.12121993902570957,2.6265973622311827,2.0779623763658277,2.868014142299962,2.4907469243831972,0.0819571998633566,2.4995594292543086
Kakadu lossless,129,2.273396757392473,3.506768103158602,2.75913326150548,0.11977692474303399,2.7453326612903224,2.0049815606213754,2.675274690686215,2.3789534061933764,0.07459558330937592,2.3854878223648486
Kakadu lossless YCC,129,2.7789986559139783,3.59760248655914,2.9118914315167332,0.10460446422438709,2.8960284358198924,1.9465052148478905,2.355568699694838,2.2532088065217657,0.060292887304317956,2.265595982626519
